Page_Number,Layout_Type,Page_Side,Section,Item_Name,Text_Description,Image_Prompt
42,Left Page (Even) - Coloring Description,Left,秋の章 (Autumn Chapter),塗り絵：萩（万葉の歌に詠まれ） (Text),左ページ植物名・解説: 萩（万葉の歌に詠まれ） / 枝垂れる萩の花,N/A (Plant Description Text Page)
43,Right Page (Odd) - Coloring Illustration,Right,秋の章 (Autumn Chapter),塗り絵：萩（万葉の歌に詠まれ） (Illustration),右ページ塗り絵イラスト: 枝垂れる萩の花,"Bush clover (hagi) flowers gracefully drooping from branches. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
44,Left Page (Even) - Coloring Description,Left,秋の章 (Autumn Chapter),塗り絵：彼岸花（路傍の情景） (Text),左ページ植物名・解説: 彼岸花（路傍の情景） / 一本の茎に咲く鮮やかな彼岸花,N/A (Plant Description Text Page)
45,Right Page (Odd) - Coloring Illustration,Right,秋の章 (Autumn Chapter),塗り絵：彼岸花（路傍の情景） (Illustration),右ページ塗り絵イラスト: 一本の茎に咲く鮮やかな彼岸花,"A vibrant red spider lily (higanbana) blooming on a single slender stem. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
46,Left Page (Even) - Chapter Intro,Left,冬の章 (Winter Chapter),冬の章 (Winter Chapter) 導入 (Text),冬の静寂を思わせる言葉と、章のタイトル,N/A (Chapter Intro Text Page)
47,Right Page (Odd) - Chapter Intro Illustration,Right,冬の章 (Winter Chapter),冬の章 (Winter Chapter) 導入 (Illustration),章の導入イラスト,"Simple and elegant snow crystals or ice patterns, evocative of a serene winter landscape, minimalist design. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
48,Left Page (Even) - Coloring Description,Left,冬の章 (Winter Chapter),塗り絵：松（千年の翠） (Text),左ページ植物名・解説: 松（千年の翠） / 雪を冠した、力強い松の枝,N/A (Plant Description Text Page)
49,Right Page (Odd) - Coloring Illustration,Right,冬の章 (Winter Chapter),塗り絵：松（千年の翠） (Illustration),右ページ塗り絵イラスト: 雪を冠した、力強い松の枝,"A powerful pine branch crowned with snow. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
50,Left Page (Even) - Coloring Description,Left,冬の章 (Winter Chapter),塗り絵：南天（難を転ずる） (Text),左ページ植物名・解説: 南天（難を転ずる） / 雪の中に赤く輝く南天の実,N/A (Plant Description Text Page)
51,Right Page (Odd) - Coloring Illustration,Right,冬の章 (Winter Chapter),塗り絵：南天（難を転ずる） (Illustration),右ページ塗り絵イラスト: 雪の中に赤く輝く南天の実,"Red nandina berries glistening in the snow. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
52,Left Page (Even) - Coloring Description,Left,冬の章 (Winter Chapter),塗り絵：福寿草（雪間草） (Text),左ページ植物名・解説: 福寿草（雪間草） / 雪の中から顔を出す可憐な福寿草,N/A (Plant Description Text Page)
53,Right Page (Odd) - Coloring Illustration,Right,冬の章 (Winter Chapter),塗り絵：福寿草（雪間草） (Illustration),右ページ塗り絵イラスト: 雪の中から顔を出す可憐な福寿草,"A charming adonis flower (fukujuso) peeking out from beneath the snow. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
54,Left Page (Even) - Coloring Description,Left,冬の章 (Winter Chapter),塗り絵：山茶花（冬の彩り） (Text),左ページ植物名・解説: 山茶花（冬の彩り） / ひっそりと咲く山茶花の花,N/A (Plant Description Text Page)
55,Right Page (Odd) - Coloring Illustration,Right,冬の章 (Winter Chapter),塗り絵：山茶花（冬の彩り） (Illustration),右ページ塗り絵イラスト: ひっそりと咲く山茶花の花,"A solitary sasanqua flower quietly blooming. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
56,Left Page (Even) - Coloring Description,Left,冬の章 (Winter Chapter),塗り絵：竹（しなやかな強さ） (Text),左ページ植物名・解説: 竹（しなやかな強さ） / 風に揺れる、数本の竹のシルエット,N/A (Plant Description Text Page)
57,Right Page (Odd) - Coloring Illustration,Right,冬の章 (Winter Chapter),塗り絵：竹（しなやかな強さ） (Illustration),右ページ塗り絵イラスト: 風に揺れる、数本の竹のシルエット,"Silhouettes of several bamboo stalks swaying gracefully in the wind. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
58,Left Page (Even),Left,Back Matter,結びの言葉 (Concluding Message),読者への感謝、SNSシェア促進ハッシュタグ (#静寂の草花 #日本の美を塗る),"An extremely minimalist, abstract background design with subtle ink wash patterns, creating a sense of tranquility and space, for a concluding message page. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
59,Right Page (Odd),Right,Back Matter,奥付 (Colophon),著作権情報、出版年月日、著者名 (Hiroyoshi Matsui)、ISBN,"A minimalist, clean page layout with abstract subtle textures, for the colophon. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
